Date,Price,
09/06/2014,179.039993,
09/06/2014,179.229996,
10/06/2014,179.029999,
10/06/2014,179.270004,
11/06/2014,178.639999,
11/06/2014,178.690002,
12/06/2014,178.419998,
12/06/2014,177.360001,
13/06/2014,177.729996,
13/06/2014,177.919998,
16/06/2014,177.690002,
16/06/2014,178.070007,
17/06/2014,177.830002,
17/06/2014,178.539993,
18/06/2014,178.589996,
18/06/2014,179.869995,
19/06/2014,180.039993,
19/06/2014,180.089996,
20/06/2014,180.509995,
20/06/2014,180.449997,
23/06/2014,179.699997,
23/06/2014,179.559998,
24/06/2014,179.289993,
24/06/2014,178.5,
25/06/2014,178.139999,
25/06/2014,179.259995,
26/06/2014,179.360001,
26/06/2014,179.169998,
27/06/2014,178.789993,
27/06/2014,179.479996,
30/06/2014,179.429993,
30/06/2014,179.429993,
01/07/2014,179.880005,
01/07/2014,180.690002,
02/07/2014,180.669998,
02/07/2014,180.820007,
03/07/2014,181.309998,
03/07/2014,181.729996,
07/07/2014,181.380005,
07/07/2014,181.139999,
08/07/2014,180.770004,
08/07/2014,179.970001,
09/07/2014,180.360001,
09/07/2014,180.720001,
10/07/2014,179.009995,
10/07/2014,180.029999,
11/07/2014,179.940002,
11/07/2014,180.270004,
14/07/2014,181.199997,
14/07/2014,181.160004,
15/07/2014,181.25,
15/07/2014,180.850006,
16/07/2014,181.649994,
16/07/2014,181.539993,
17/07/2014,180.960007,
17/07/2014,179.410004,
18/07/2014,180.020004,
18/07/2014,181.300003,
21/07/2014,180.710007,
21/07/2014,180.910004,
22/07/2014,181.580002,
22/07/2014,181.720001,
23/07/2014,182,
23/07/2014,182.149994,
24/07/2014,182.360001,
24/07/2014,182.149994,
25/07/2014,181.649994,
25/07/2014,181.279999,
28/07/2014,181.350006,
28/07/2014,181.360001,
29/07/2014,181.699997,
29/07/2014,180.589996,
30/07/2014,181.220001,
30/07/2014,180.589996,
31/07/2014,179.350006,
31/07/2014,176.960007,
01/08/2014,176.520004,
01/08/2014,176.529999,
04/08/2014,176.809998,
04/08/2014,177.770004,
05/08/2014,177.039993,
05/08/2014,175.970001,
06/08/2014,175.199997,
06/08/2014,176.080002,
07/08/2014,176.899994,
07/08/2014,175.130005,
08/08/2014,175.490005,
08/08/2014,177.160004,
11/08/2014,177.869995,
11/08/2014,177.660004,
12/08/2014,177.470001,
