Date,Price
24/4/2014 16:00:00,172.089996
25/4/2014 9:00:00,171.550003
25/4/2014 16:00:00,170.710007
28/4/2014 9:00:00,171.389999
28/4/2014 16:00:00,171.229996
29/4/2014 9:00:00,171.789993
29/4/2014 16:00:00,172.050003
30/4/2014 9:00:00,171.75
30/4/2014 16:00:00,172.589996
1/5/2014 9:00:00,172.5
1/5/2014 16:00:00,172.600006
2/5/2014 9:00:00,172.559998
2/5/2014 16:00:00,172.320007
5/5/2014 9:00:00,171.490005
5/5/2014 16:00:00,172.679993
6/5/2014 9:00:00,172.270004
6/5/2014 16:00:00,171.179993
7/5/2014 9:00:00,171.729996
7/5/2014 16:00:00,172.190002
8/5/2014 9:00:00,171.960007
8/5/2014 16:00:00,171.979996
9/5/2014 9:00:00,171.979996
9/5/2014 16:00:00,172.279999
12/5/2014 9:00:00,172.960007
12/5/2014 16:00:00,173.910004
13/5/2014 9:00:00,174.089996
13/5/2014 16:00:00,174.070007
14/5/2014 9:00:00,173.910004
14/5/2014 16:00:00,173.229996
15/5/2014 9:00:00,172.899994
15/5/2014 16:00:00,171.669998
16/5/2014 9:00:00,171.800003
16/5/2014 16:00:00,172.339996
19/5/2014 9:00:00,171.979996
19/5/2014 16:00:00,172.929993
20/5/2014 9:00:00,172.860001
20/5/2014 16:00:00,171.789993
21/5/2014 9:00:00,172.360001
21/5/2014 16:00:00,173.279999
22/5/2014 9:00:00,173.350006
22/5/2014 16:00:00,173.75
23/5/2014 9:00:00,173.910004
23/5/2014 16:00:00,174.470001
27/5/2014 9:00:00,175.089996
27/5/2014 16:00:00,175.5
28/5/2014 9:00:00,175.520004
28/5/2014 16:00:00,175.320007
29/5/2014 9:00:00,175.820007
29/5/2014 16:00:00,176.320007
30/5/2014 9:00:00,176.160004
30/5/2014 16:00:00,176.550003
2/6/2014 9:00:00,176.830002
2/6/2014 16:00:00,176.789993
3/6/2014 9:00:00,176.350006
3/6/2014 16:00:00,176.679993
4/6/2014 9:00:00,176.369995
4/6/2014 16:00:00,177
5/6/2014 9:00:00,177.240005
5/6/2014 16:00:00,178.199997
6/6/2014 9:00:00,178.619995
6/6/2014 16:00:00,179.050003
9/6/2014 9:00:00,179.039993
9/6/2014 16:00:00,179.229996
10/6/2014 9:00:00,179.029999
10/6/2014 16:00:00,179.270004
11/6/2014 9:00:00,178.639999
11/6/2014 16:00:00,178.690002
12/6/2014 9:00:00,178.419998
12/6/2014 16:00:00,177.360001
13/6/2014 9:00:00,177.729996
13/6/2014 16:00:00,177.919998
16/6/2014 9:00:00,177.690002
16/6/2014 16:00:00,178.070007
17/6/2014 9:00:00,177.830002
17/6/2014 16:00:00,178.539993
18/6/2014 9:00:00,178.589996
18/6/2014 16:00:00,179.869995
19/6/2014 9:00:00,180.039993
19/6/2014 16:00:00,180.089996
20/6/2014 9:00:00,180.509995
20/6/2014 16:00:00,180.449997
23/6/2014 9:00:00,179.699997
23/6/2014 16:00:00,179.559998
24/6/2014 9:00:00,179.289993
24/6/2014 16:00:00,178.5
25/6/2014 9:00:00,178.139999
25/6/2014 16:00:00,179.259995
26/6/2014 9:00:00,179.360001
26/6/2014 16:00:00,179.169998
27/6/2014 9:00:00,178.789993
27/6/2014 16:00:00,179.479996
30/6/2014 9:00:00,179.429993
30/6/2014 16:00:00,179.429993
1/7/2014 9:00:00,179.880005
1/7/2014 16:00:00,180.690002
2/7/2014 9:00:00,180.669998
2/7/2014 16:00:00,180.820007
3/7/2014 9:00:00,181.309998
3/7/2014 16:00:00,181.729996
7/7/2014 9:00:00,181.380005
7/7/2014 16:00:00,181.139999
8/7/2014 9:00:00,180.770004
8/7/2014 16:00:00,179.970001
9/7/2014 9:00:00,180.360001
9/7/2014 16:00:00,180.720001
10/7/2014 9:00:00,179.009995
10/7/2014 16:00:00,180.029999
11/7/2014 9:00:00,179.940002
11/7/2014 16:00:00,180.270004
14/7/2014 9:00:00,181.199997
14/7/2014 16:00:00,181.160004
15/7/2014 9:00:00,181.25
15/7/2014 16:00:00,180.850006
16/7/2014 9:00:00,181.649994
16/7/2014 16:00:00,181.539993
17/7/2014 9:00:00,180.960007
17/7/2014 16:00:00,179.410004
18/7/2014 9:00:00,180.020004
18/7/2014 16:00:00,181.300003
21/7/2014 9:00:00,180.710007
21/7/2014 16:00:00,180.910004
22/7/2014 9:00:00,181.580002
22/7/2014 16:00:00,181.720001
23/7/2014 9:00:00,182
23/7/2014 16:00:00,182.149994
24/7/2014 9:00:00,182.360001
24/7/2014 16:00:00,182.149994
25/7/2014 9:00:00,181.649994
